Date,Description,Debit,Credit,Balance
2025-01-02,AMAZON MARKETPLACE,-45.99,,1954.01
2025-01-03,PAYROLL DEPOSIT,,3500.00,5454.01
2025-01-05,NETFLIX SUBSCRIPTION,-15.99,,5438.02
2025-01-05,NETFLIX SUBSCRIPTION,-15.99,,5422.03
2025-01-10,UBER TRIP,-23.50,,5398.53
2025-01-15,RENT PAYMENT,-1200.00,,4198.53
2025-02-05,NETFLIX SUBSCRIPTION,-15.99,,4182.54
2025-02-10,UBER TRIP,-18.75,,4163.79
2025-03-01,PAYROLL DEPOSIT,,3500.00,7663.79
2025-03-05,NETFLIX SUBSCRIPTION,-15.99,,7647.80
2025-03-15,RENT PAYMENT,-1200.00,,6447.80
2025-04-05,NETFLIX SUBSCRIPTION,-15.99,,6431.81
2025-05-05,NETFLIX SUBSCRIPTION,-15.99,,6415.82
